,title,author,timestamp
66,Researchers develop artificial 'power plants' in the form of tiny leaf-shapes to harness energy from the wind and rain.,chrisdh79,2024-01-19T02:22:31.773000+0000
67,"Crop Health Sensor Runs on Solar, Microbe Power | Electrical measurements on plant stem enable better water resource monitoring",chrisdh79,2024-01-18T12:06:20.236000+0000
68,EU breakthrough laser beams could power nanosatellites in space wirelessly | The research project demonstrated a power output of 20 watts using a fiber-optic laser and aims to increase this to kilowatts in the future.,chrisdh79,2024-01-18T11:48:58.385000+0000
69,"""Dirt-powered fuel cell"" draws near-limitless energy from soil | Paperback-sized device that nestles in soil, harvests power created as microbes break down dirt.",chrisdh79,2024-01-17T12:18:24.736000+0000
70,"Researchers use wireless sensor 5 times thinner than hair to map brain | UC San Diego researchers unveil a revolutionary brain monitoring system, enabling high-resolution, wireless recording in deep brain structures for diverse clinical applications.",chrisdh79,2024-01-17T12:05:35.350000+0000
71,Mesh Wearables Meld Micro Sensors and LoRa Smarts. Say goodbye to box-and-strap wearable tech of old.,Sariel007,2024-01-16T15:06:16.323000+0000
72,Daimler Truck Fuels Big Rigs With Hydrogen GenH2’s fuel-cell-powered semi will hit German roads by middle of this year,Sariel007,2024-01-15T16:09:46.683000+0000
73,MIT’s New Desalination System Produces Freshwater That Is “Cheaper Than Tap Water”,chrisdh79,2024-01-14T12:59:48.503000+0000
74,Biotagging method for animal identification using dissolvable microneedle arrays prepared by customisable moulds,chrisdh79,2024-01-14T12:57:08.307000+0000
75,The innovation that gets an Alzheimer’s drug through the blood-brain barrier. Focused ultrasound is just one strategy researchers are using to get drugs into the brain.,Sariel007,2024-01-13T14:53:52.799000+0000
76,Autophage rocket engine consumes plastic fuselage for fuel,waozen,2024-01-13T08:15:55.498000+0000
77,"""Millennium Camera"" to take a 1,000-year long-exposure photo",chrisdh79,2024-01-12T12:43:58.936000+0000
